0,[(u'apprenticeship/NN', 0.011946041867999616), (u'skill/NN', 0.0091123955148392985), (u'employer/NN', 0.0072256556672954664), (u'training/NN', 0.0057160574251262702), (u'college/NN', 0.0043907966834779138), (u'agency/NN', 0.0038656533886936204), (u'funding/JJ', 0.0035784387745105661), (u'apprentice/NN', 0.003237657483456819)]
1,[(u'school/NN', 0.058975756657975505), (u'pupil/NN', 0.014255028808188025), (u'academy/NN', 0.013782486642852199), (u'free/JJ', 0.0083649737970222949), (u'free/JJ_school/NN', 0.0074328122392575101), (u'local/JJ', 0.0064316491318456267), (u'authority/NN', 0.0044648829230926239), (u'funding/NN', 0.0044271299826951953)]
2,[(u'child/NN', 0.030465250452514921), (u'school/NN', 0.017174356218874694), (u'family/NN', 0.0072207230107876998), (u'parent/NN', 0.0061044071197872375), (u'local/JJ', 0.005457640516695169), (u'social/JJ', 0.0050322385005478658), (u'inspection/NN', 0.0049572167877649015), (u'service/NN', 0.0047666014754127349)]
3,[(u'test/NN', 0.015533476801462274), (u'apprenticeship/NN', 0.011628504313236322), (u'apprentice/NN', 0.0038542723512480365), (u'national/JJ', 0.0035102327356363386), (u'type/NN', 0.0032108133039553512), (u'key stage', 0.0031226512017347966), (u'stage/NN', 0.0031058367586846002), (u'material/NN', 0.003030120107303403)]
4,[(u'level/NN', 0.0090695923214409689), (u'student/NN', 0.007577022756262923), (u'gcse/NN', 0.0072397195419086199), (u'qualification/NN', 0.0071752160730301582), (u'math/NN', 0.0064315247719489901), (u'english/NN', 0.0060552197119369787), (u'school/NN', 0.0058128672046024437), (u'subject/NN', 0.0048037902459550181)]
5,[(u'student/NN', 0.0095020170662543368), (u'university/NN', 0.0079027061997332029), (u'standard/NN', 0.0067042045624444791), (u'apprenticeship/NN', 0.0053666205180033441), (u'higher education', 0.0050686507077553743), (u'skill/NN', 0.0049477943075801967), (u'employer/NN', 0.0043541440736975011), (u'institution/NN', 0.0035511617714869162)]
6,[(u'teacher/NN', 0.0087152315667654058), (u'datum/NN', 0.0085337579128320074), (u'panel/NN', 0.0073126215453097956), (u'outcome/NN', 0.005445078111635116), (u'child/NN', 0.0053639145747681801), (u'local/JJ', 0.0050755538027308957), (u'local/JJ_authority/NN', 0.004951883251248475), (u'authority/NN', 0.0049396654430423816)]
7,[(u'teacher/NN', 0.019076056703611705), (u'school/NN', 0.019051236102261022), (u'teaching/NN', 0.0081101413992131395), (u'training/NN', 0.0072443344966561986), (u'college/NN', 0.0048286909550209174), (u'leadership/NN', 0.0045704999715619138), (u'national/JJ', 0.0038397867731287294), (u'teacher/NN_training/NN', 0.0036927490424218945)]
8,[(u'skill/NN', 0.015601020151266434), (u'college/NN', 0.0062159427137622883), (u'employer/NN', 0.0061518891791147862), (u'apprenticeship/NN', 0.0055372550787302095), (u'career/NN', 0.0052484633565921561), (u'service/NN', 0.0041536509789395007), (u'further education', 0.0041280940344594584), (u'qualification/NN', 0.0038974425342323113)]
9,[(u'student/NN', 0.012015916747740588), (u'funding/NN', 0.0094276998058633356), (u'local/JJ', 0.0078664258294010737), (u'authority/NN', 0.0074134106556562893), (u'funding/JJ', 0.0073626712514030836), (u'institution/NN', 0.006820655511816702), (u'local/JJ_authority/NN', 0.0066760491525043588), (u'rule/NN', 0.0047365709341315697)]
